stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
985,985,985-Pl. Joan Carles I,PZ JOAN CARLES I 1,39.571164,2.646705,,http://www.emtpalma.es/p/985,0, ,,0
986,986,986-Pl. de la Reina,PS ES BORN,39.569676,2.646328,,http://www.emtpalma.es/p/986,0, ,,0
989,989,989-Concha Espina  5,CL CONCHA ESPINA 5,39.594490,2.614792,,http://www.emtpalma.es/p/989,0, ,,0
990,990,990-Ramón y Cajal  14,CL RAMON I CAJAL 14,39.575294,2.641712,,http://www.emtpalma.es/p/990,0, ,,1
992,992,992-Can Caimari  22,CL CAN CAIMARI 22,39.547909,2.698243,,http://www.emtpalma.es/p/992,0, ,,0
993,993,993-Sa Creu Vermella,AV EL CID,39.582814,2.715547,,http://www.emtpalma.es/p/993,0, ,,0
994,994,994-Uruguai (Velòdrom),CL URUGUAI,39.587257,2.643770,,http://www.emtpalma.es/p/994,0, ,,0
997,997,997-Sant Joan de Déu (Hospital),CL SANT JOAN DE DÉU 1,39.547488,2.699176,,http://www.emtpalma.es/p/997,0, ,,0
1001,1001,1001-Camí de Jesús (Pol. Son Valentí),CM JESÚS,39.592046,2.633579,,http://www.emtpalma.es/p/1001,0, ,,0
1002,1002,1002-Camí de Jesús (Pol. Son Valentí),CM JESÚS,39.592000,2.633416,,http://www.emtpalma.es/p/1002,0, ,,0
1003,1003,1003-Amílcar  1 (S'Arenal),CL AMILCAR 1,39.506236,2.751778,,http://www.emtpalma.es/p/1003,0, ,,0
1004,1004,1004-Avinguda del Cid,AV EL CID,39.585541,2.714243,,http://www.emtpalma.es/p/1004,0, ,,0
1005,1005,1005-Manuel Azaña (Mercat de Llevant),CL MANUEL AZAÑA 38,39.565698,2.663031,,http://www.emtpalma.es/p/1005,0, ,,0
1006,1006,1006-Av. de Mèxic (Parc de Kristian Krekovic),AV MÈXIC,39.566263,2.665170,,http://www.emtpalma.es/p/1006,0, ,,0
1007,1007,1007-Carrer Genil,CL GENIL 21,39.595434,2.676036,,http://www.emtpalma.es/p/1007,0, ,,0
1008,1008,1008-Can Foradí  42,CL CAN FORADÍ 42,39.595476,2.678447,,http://www.emtpalma.es/p/1008,0, ,,0
1009,1009,1009-Cala Estància,CM CAN PASTILLA 70,39.541219,2.710666,,http://www.emtpalma.es/p/1009,0, ,,0
1012,1012,1012-Son Lledó,CL FORMENTERA,39.639440,2.648176,,http://www.emtpalma.es/p/1012,0, ,,0
1013,1013,1013-Ed. Anselm Turmeda,CL MALLORCA,39.637457,2.644725,,http://www.emtpalma.es/p/1013,0, ,,0
1014,1014,1014-Carrer Mallorca,CL MALLORCA,39.638026,2.648241,,http://www.emtpalma.es/p/1014,0, ,,0
1015,1015,1015-Son Hugo,ED SON HUG0,39.593005,2.661629,,http://www.emtpalma.es/p/1015,0, ,,0
1017,1017,1017-Ter  14 (pol. Son Fuster),CL TER 14,39.592832,2.673754,,http://www.emtpalma.es/p/1017,0, ,,0
1018,1018,1018-Ter  21 (pol. Son Fuster),CL TER 21,39.592553,2.673580,,http://www.emtpalma.es/p/1018,0, ,,0
1019,1019,1019-Canonge Antoni Sancho  44,CL CANONGE ANTONI SANCHO 44,39.596681,2.677451,,http://www.emtpalma.es/p/1019,0, ,,1
1021,1021,1021-Son Llàtzer (consultes externes),LU SON LLÀTZER,39.571872,2.703087,,http://www.emtpalma.es/p/1021,0, ,,0
1022,1022,1022-Hospital Son Llàtzer,LU HOSPITAL SON LLÀTZER,39.573578,2.704465,,http://www.emtpalma.es/p/1022,0, ,,0
1024,1024,1024-Can Valero,CL ALEXANDRE DE LABORDE 17,39.600675,2.627127,,http://www.emtpalma.es/p/1024,0, ,,0
1025,1025,1025-Carrer Poima  31,CL POIMA 31,39.598754,2.629374,,http://www.emtpalma.es/p/1025,0, ,,0
1026,1026,1026-Camí dels Reis  201,CM REIS 201,39.592266,2.632063,,http://www.emtpalma.es/p/1026,0, ,,0
1027,1027,1027-Camí dels Reis (estadi futbol),CM REIS 191,39.589299,2.625464,,http://www.emtpalma.es/p/1027,0, ,,0
1028,1028,1028-Camí dels Reis (estadi futbol),CM DELS REIS 128,39.589218,2.625535,,http://www.emtpalma.es/p/1028,0, ,,0
